progress,coordinate_time_years,proper_time_years,position_ly,gamma,signal_return_to_earth_years
0,0,0,0,1.66667,0
0.00166945,0.00911937,0.00547162,0.00729549,1.66667,0.0164149
0.0033389,0.0182387,0.0109432,0.014591,1.66667,0.0328297
0.00500835,0.0273581,0.0164149,0.0218865,1.66667,0.0492446
0.0066778,0.0364775,0.0218865,0.029182,1.66667,0.0656594
0.00834725,0.0455968,0.0273581,0.0364775,1.66667,0.0820743
0.0100167,0.0547162,0.0328297,0.043773,1.66667,0.0984891
0.0116861,0.0638356,0.0383013,0.0510684,1.66667,0.114904
0.0133556,0.0729549,0.043773,0.0583639,1.66667,0.131319
0.015025,0.0820743,0.0492446,0.0656594,1.66667,0.147734
0.0166945,0.0911937,0.0547162,0.0729549,1.66667,0.164149
0.0183639,0.100313,0.0601878,0.0802504,1.66667,0.180563
0.0200334,0.109432,0.0656594,0.0875459,1.66667,0.196978
0.0217028,0.118552,0.0711311,0.0948414,1.66667,0.213393
0.0233723,0.127671,0.0766027,0.102137,1.66667,0.229808
0.0250417,0.13679,0.0820743,0.109432,1.66667,0.246223
0.0267112,0.14591,0.0875459,0.116728,1.66667,0.262638
0.0283806,0.155029,0.0930175,0.124023,1.66667,0.279053
0.0300501,0.164149,0.0984891,0.131319,1.66667,0.295467
0.0317195,0.173268,0.103961,0.138614,1.66667,0.311882
0.033389,0.182387,0.109432,0.14591,1.66667,0.328297
0.0350584,0.191507,0.114904,0.153205,1.66667,0.344712
0.0367279,0.200626,0.120376,0.160501,1.66667,0.361127
0.0383973,0.209745,0.125847,0.167796,1.66667,0.377542
0.0400668,0.218865,0.131319,0.175092,1.66667,0.393957
0.0417362,0.227984,0.13679,0.182387,1.66667,0.410371
0.0434057,0.237104,0.142262,0.189683,1.66667,0.426786
0.0450751,0.246223,0.147734,0.196978,1.66667,0.443201
0.0467446,0.255342,0.153205,0.204274,1.66667,0.459616
0.048414,0.264462,0.158677,0.211569,1.66667,0.476031
0.0500835,0.273581,0.164149,0.218865,1.66667,0.492446
0.0517529,0.2827,0.16962,0.22616,1.66667,0.508861
0.0534224,0.29182,0.175092,0.233456,1.66667,0.525275
0.0550918,0.300939,0.180563,0.240751,1.66667,0.54169
0.0567613,0.310058,0.186035,0.248047,1.66667,0.558105
0.0584307,0.319178,0.191507,0.255342,1.66667,0.57452
0.0601002,0.328297,0.196978,0.262638,1.66667,0.590935
0.0617696,0.337417,0.20245,0.269933,1.66667,0.60735
0.0634391,0.346536,0.207922,0.277229,1.66667,0.623765
0.0651085,0.355655,0.213393,0.284524,1.66667,0.640179
0.066778,0.364775,0.218865,0.29182,1.66667,0.656594
0.0684474,0.373894,0.224336,0.299115,1.66667,0.673009
0.0701169,0.383013,0.229808,0.306411,1.66667,0.689424
0.0717863,0.392133,0.23528,0.313706,1.66667,0.705839
0.0734558,0.401252,0.240751,0.321002,1.66667,0.722254
0.0751252,0.410371,0.246223,0.328297,1.66667,0.738669
0.0767947,0.419491,0.251694,0.335593,1.66667,0.755083
0.0784641,0.42861,0.257166,0.342888,1.66667,0.771498
0.0801336,0.43773,0.262638,0.350184,1.66667,0.787913
0.081803,0.446849,0.268109,0.357479,1.66667,0.804328
0.0834725,0.455968,0.273581,0.364775,1.66667,0.820743
0.0851419,0.465088,0.279053,0.37207,1.66667,0.837158
0.0868114,0.474207,0.284524,0.379366,1.66667,0.853573
0.0884808,0.483326,0.289996,0.386661,1.66667,0.869987
0.0901503,0.492446,0.295467,0.393957,1.66667,0.886402
0.0918197,0.501565,0.300939,0.401252,1.66667,0.902817
0.0934891,0.510684,0.306411,0.408548,1.66667,0.919232
0.0951586,0.519804,0.311882,0.415843,1.66667,0.935647
0.096828,0.528923,0.317354,0.423139,1.66667,0.952062
0.0984975,0.538043,0.322826,0.430434,1.66667,0.968477
0.100167,0.547162,0.328297,0.43773,1.66667,0.984891
0.101836,0.556281,0.333769,0.445025,1.66667,1.00131
0.103506,0.565401,0.33924,0.452321,1.66667,1.01772
0.105175,0.57452,0.344712,0.459616,1.66667,1.03414
0.106845,0.583639,0.350184,0.466912,1.66667,1.05055
0.108514,0.592759,0.355655,0.474207,1.66667,1.06697
0.110184,0.601878,0.361127,0.481503,1.66667,1.08338
0.111853,0.610997,0.366598,0.488798,1.66667,1.0998
0.113523,0.620117,0.37207,0.496093,1.66667,1.11621
0.115192,0.629236,0.377542,0.503389,1.66667,1.13263
0.116861,0.638356,0.383013,0.510684,1.66667,1.14904
0.118531,0.647475,0.388485,0.51798,1.66667,1.16545
0.1202,0.656594,0.393957,0.525275,1.66667,1.18187
0.12187,0.665714,0.399428,0.532571,1.66667,1.19828
0.123539,0.674833,0.4049,0.539866,1.66667,1.2147
0.125209,0.683952,0.410371,0.547162,1.66667,1.23111
0.126878,0.693072,0.415843,0.554457,1.66667,1.24753
0.128548,0.702191,0.421315,0.561753,1.66667,1.26394
0.130217,0.711311,0.426786,0.569048,1.66667,1.28036
0.131886,0.72043,0.432258,0.576344,1.66667,1.29677
0.133556,0.729549,0.43773,0.583639,1.66667,1.31319
0.135225,0.738669,0.443201,0.590935,1.66667,1.3296
0.136895,0.747788,0.448673,0.59823,1.66667,1.34602
